rank,image,case,improvement_score,PSNR_gain,SSIM_gain,RMSE_drop,degraded_PSNR,degraded_SSIM,degraded_RMSE,PSNR,SSIM,RMSE,source,copied
1,190005,运动模糊,8.2362,5.3893,0.1163,0.026,24.9825,0.7592,0.0563,30.3717,0.8755,0.0303,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved\190005_motion_blur_improved.png,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved_best20\01_190005_motion_blur_GAIN_5.39_SSIM_GAIN_0.116.png
2,190003,运动模糊,8.1295,5.0953,0.1252,0.0265,24.4822,0.7378,0.0597,29.5775,0.8631,0.0332,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved\190003_motion_blur_improved.png,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved_best20\02_190003_motion_blur_GAIN_5.10_SSIM_GAIN_0.125.png
3,190004,运动模糊,8.1092,5.1592,0.1209,0.0266,24.521,0.7422,0.0594,29.6802,0.863,0.0328,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved\190004_motion_blur_improved.png,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved_best20\03_190004_motion_blur_GAIN_5.16_SSIM_GAIN_0.121.png
4,190001,运动模糊,7.8209,4.7589,0.1265,0.0266,23.9989,0.7302,0.0631,28.7579,0.8567,0.0365,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved\190001_motion_blur_improved.png,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved_best20\04_190001_motion_blur_GAIN_4.76_SSIM_GAIN_0.126.png
5,190002,运动模糊,7.4399,5.2857,0.0841,0.0236,25.7125,0.8083,0.0518,30.9982,0.8924,0.0282,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved\190002_motion_blur_improved.png,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved_best20\05_190002_motion_blur_GAIN_5.29_SSIM_GAIN_0.084.png
6,190005,散焦模糊,6.4102,3.9541,0.1017,0.0211,24.7595,0.7239,0.0578,28.7136,0.8255,0.0367,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved\190005_defocus_blur_improved.png,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved_best20\06_190005_defocus_blur_GAIN_3.95_SSIM_GAIN_0.102.png
7,190003,散焦模糊,6.258,3.6779,0.1079,0.0211,24.258,0.7003,0.0612,27.9359,0.8082,0.0401,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved\190003_defocus_blur_improved.png,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved_best20\07_190003_defocus_blur_GAIN_3.68_SSIM_GAIN_0.108.png
8,190004,散焦模糊,6.2491,3.7279,0.1047,0.0213,24.2704,0.7024,0.0612,27.9983,0.8071,0.0398,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved\190004_defocus_blur_improved.png,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved_best20\08_190004_defocus_blur_GAIN_3.73_SSIM_GAIN_0.105.png
9,190002,散焦模糊,5.8051,3.9176,0.0747,0.0197,25.3127,0.7799,0.0542,29.2303,0.8545,0.0346,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved\190002_defocus_blur_improved.png,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved_best20\09_190002_defocus_blur_GAIN_3.92_SSIM_GAIN_0.075.png
10,190001,散焦模糊,5.7858,3.243,0.1067,0.0205,23.6464,0.6903,0.0657,26.8894,0.797,0.0452,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved\190001_defocus_blur_improved.png,D:\PycharmProject\dark-light\lol_dataset\surveillance_results\improved_best20\10_190001_defocus_blur_GAIN_3.24_SSIM_GAIN_0.107.png
