case,image,method,PSNR,SSIM,RMSE
运动模糊,190001,退化图,23.99892622590479,0.7302051968036093,0.06310353500224257
运动模糊,190001,逆滤波,22.619070536069525,0.691440852929925,0.07396844233362704
运动模糊,190001,维纳滤波,23.41910390064415,0.7103255410103939,0.06745976204900023
运动模糊,190001,约束最小二乘,13.304445464197123,0.15151814626988594,0.21616119211479734
运动模糊,190001,改进复原,28.75785324424154,0.8566840416491228,0.03648441086064698
散焦模糊,190001,退化图,23.646363210127834,0.690310367988737,0.06571762191585936
散焦模糊,190001,逆滤波,23.02048216095839,0.702504114935361,0.07062783470762596
散焦模糊,190001,维纳滤波,23.924655644263876,0.712654557829036,0.06364542894232299
散焦模糊,190001,约束最小二乘,17.187802597629872,0.34921103947395254,0.13823240693348607
散焦模糊,190001,改进复原,26.889375867947898,0.7969720597504885,0.04524089693992196
运动模糊,190002,退化图,25.712513356425436,0.8083160861312585,0.051805316601145436
运动模糊,190002,逆滤波,22.822644473519574,0.7308809934882105,0.0722549785301805
运动模糊,190002,维纳滤波,24.112905816854628,0.7670540014755035,0.06228087553113193
运动模糊,190002,约束最小二乘,10.825159972749553,0.09524392506895026,0.287568956408476
运动模糊,190002,改进复原,30.99821064712576,0.8924115968403439,0.028189635972985967
散焦模糊,190002,退化图,25.312724039132313,0.7798577080860127,0.054245510172762815
散焦模糊,190002,逆滤波,23.16829350413681,0.7513013533339432,0.06943610077524962
散焦模糊,190002,维纳滤波,24.801172866844272,0.7769999804043689,0.05753622401885328
散焦模糊,190002,约束最小二乘,16.022736806685824,0.2911103183670642,0.15807498878226656
散焦模糊,190002,改进复原,29.230306467414422,0.8545410716304941,0.03455291379320779
运动模糊,190003,退化图,24.48223641069868,0.7378484386578998,0.0596881583937414
运动模糊,190003,逆滤波,23.095611270835143,0.6998031139296815,0.0700195695299238
运动模糊,190003,维纳滤波,24.015357707401016,0.7189474334820881,0.06298427209782341
运动模糊,190003,约束最小二乘,13.312995508345386,0.1750948273300907,0.21594851633029377
运动模糊,190003,改进复原,29.57749681415884,0.8630710367378119,0.033199011997363866
散焦模糊,190003,退化图,24.257990581935623,0.7003086362769885,0.06124920709690498
散焦模糊,190003,逆滤波,23.3855811625495,0.7068403041945935,0.06772062254759084
散焦模糊,190003,维纳滤波,24.464596701880623,0.7193521575666563,0.05980949905343011
散焦模糊,190003,约束最小二乘,17.229857645056033,0.35348237497323004,0.1375647355875779
散焦模糊,190003,改进复原,27.935917468989096,0.8081676102454297,0.04010551767879889
运动模糊,190004,退化图,24.52104456016562,0.7421519470318501,0.059422069367461285
运动模糊,190004,逆滤波,23.339803373018377,0.7082125762601444,0.06807847697966767
运动模糊,190004,维纳滤波,24.189632925396904,0.7256807766008558,0.06173313803945974
运动模糊,190004,约束最小二乘,13.89971362691144,0.20832120251951217,0.20184329101565915
运动模糊,190004,改进复原,29.680194718827888,0.8630403179789323,0.0328087938009902
散焦模糊,190004,退化图,24.270377107827557,0.7023550281802514,0.06116192482294051
散焦模糊,190004,逆滤波,23.528732279598866,0.7148489857729766,0.06661367379963773
散焦模糊,190004,维纳滤波,24.558179935563025,0.7254823285903131,0.05916856045631507
散焦模糊,190004,约束最小二乘,17.429457362468206,0.37483355023339043,0.13443957530948364
散焦模糊,190004,改进复原,27.998303356925103,0.8070701088116717,0.03981849417174125
运动模糊,190005,退化图,24.982457892759932,0.7592051431568647,0.056347818282109434
运动模糊,190005,逆滤波,23.12850001415146,0.7228799390031018,0.06975494478664995
运动模糊,190005,维纳滤波,24.209140377454847,0.7440881696401137,0.061594648490768525
运动模糊,190005,约束最小二乘,12.80392269535726,0.17118038885113437,0.22898332915928804
运动模糊,190005,改进复原,30.371736423175868,0.8754995161562381,0.03029794541603746
散焦模糊,190005,退化图,24.75954935729056,0.7238715330407871,0.05781260410549732
散焦模糊,190005,逆滤波,23.59366281548889,0.7319473948439637,0.06611756627508104
散焦模糊,190005,维纳滤波,24.850448112669554,0.7445774875181247,0.0572107438366095
散焦模糊,190005,约束最小二乘,17.007689923017967,0.3609510610958561,0.1411287528969862
散焦模糊,190005,改进复原,28.713602501116352,0.8255354793696027,0.036670756973331886
